energy(Ry) alat(a.u.)
-171.1037964 6.90000
-171.1040342 6.90160
-171.1042707 6.90321
-171.1045059 6.90481
-171.1047399 6.90641
-171.1049725 6.90802
-171.1052039 6.90962
-171.1054340 6.91122
-171.1056629 6.91283
-171.1058905 6.91443
-171.1061168 6.91603
-171.1063419 6.91764
-171.1065657 6.91924
-171.1067882 6.92084
-171.1070095 6.92244
-171.1072296 6.92405
-171.1074484 6.92565
-171.1076659 6.92725
-171.1078822 6.92886
-171.1080973 6.93046
-171.1083111 6.93206
-171.1085237 6.93367
-171.1087351 6.93527
-171.1089452 6.93687
-171.1091541 6.93848
-171.1093618 6.94008
-171.1095683 6.94168
-171.1097735 6.94329
-171.1099776 6.94489
-171.1101804 6.94649
-171.1103820 6.94810
-171.1105824 6.94970
-171.1107815 6.95130
-171.1109795 6.95291
-171.1111763 6.95451
-171.1113719 6.95611
-171.1115663 6.95772
-171.1117595 6.95932
-171.1119515 6.96092
-171.1121423 6.96253
-171.1123319 6.96413
-171.1125203 6.96573
-171.1127076 6.96733
-171.1128937 6.96894
-171.1130786 6.97054
-171.1132623 6.97214
-171.1134448 6.97375
-171.1136262 6.97535
-171.1138064 6.97695
-171.1139855 6.97856
-171.1141634 6.98016
-171.1143401 6.98176
-171.1145157 6.98337
-171.1146901 6.98497
-171.1148634 6.98657
-171.1150355 6.98818
-171.1152064 6.98978
-171.1153762 6.99138
-171.1155449 6.99299
-171.1157125 6.99459
-171.1158788 6.99619
-171.1160441 6.99780
-171.1162082 6.99940
-171.1163712 7.00100
-171.1165331 7.00261
-171.1166938 7.00421
-171.1168534 7.00581
-171.1170119 7.00741
-171.1171693 7.00902
-171.1173255 7.01062
-171.1174807 7.01222
-171.1176347 7.01383
-171.1177876 7.01543
-171.1179394 7.01703
-171.1180901 7.01864
-171.1182397 7.02024
-171.1183881 7.02184
-171.1185355 7.02345
-171.1186818 7.02505
-171.1188270 7.02665
-171.1189711 7.02826
-171.1191141 7.02986
-171.1192560 7.03146
-171.1193968 7.03307
-171.1195366 7.03467
-171.1196753 7.03627
-171.1198128 7.03788
-171.1199493 7.03948
-171.1200848 7.04108
-171.1202191 7.04269
-171.1203524 7.04429
-171.1204846 7.04589
-171.1206158 7.04749
-171.1207458 7.04910
-171.1208749 7.05070
-171.1210028 7.05230
-171.1211297 7.05391
-171.1212556 7.05551
-171.1213803 7.05711
-171.1215041 7.05872
-171.1216268 7.06032
-171.1217484 7.06192
-171.1218690 7.06353
-171.1219885 7.06513
-171.1221070 7.06673
-171.1222245 7.06834
-171.1223409 7.06994
-171.1224563 7.07154
-171.1225707 7.07315
-171.1226840 7.07475
-171.1227963 7.07635
-171.1229076 7.07796
-171.1230178 7.07956
-171.1231270 7.08116
-171.1232352 7.08277
-171.1233424 7.08437
-171.1234485 7.08597
-171.1235537 7.08758
-171.1236578 7.08918
-171.1237609 7.09078
-171.1238631 7.09238
-171.1239642 7.09399
-171.1240643 7.09559
-171.1241633 7.09719
-171.1242614 7.09880
-171.1243585 7.10040
-171.1244546 7.10200
-171.1245497 7.10361
-171.1246438 7.10521
-171.1247369 7.10681
-171.1248291 7.10842
-171.1249202 7.11002
-171.1250104 7.11162
-171.1250995 7.11323
-171.1251877 7.11483
-171.1252749 7.11643
-171.1253611 7.11804
-171.1254464 7.11964
-171.1255307 7.12124
-171.1256140 7.12285
-171.1256963 7.12445
-171.1257777 7.12605
-171.1258580 7.12766
-171.1259375 7.12926
-171.1260159 7.13086
-171.1260935 7.13246
-171.1261700 7.13407
-171.1262456 7.13567
-171.1263202 7.13727
-171.1263939 7.13888
-171.1264666 7.14048
-171.1265384 7.14208
-171.1266092 7.14369
-171.1266791 7.14529
-171.1267481 7.14689
-171.1268161 7.14850
-171.1268831 7.15010
-171.1269492 7.15170
-171.1270144 7.15331
-171.1270787 7.15491
-171.1271420 7.15651
-171.1272044 7.15812
-171.1272658 7.15972
-171.1273263 7.16132
-171.1273859 7.16293
-171.1274446 7.16453
-171.1275023 7.16613
-171.1275592 7.16774
-171.1276151 7.16934
-171.1276700 7.17094
-171.1277241 7.17255
-171.1277773 7.17415
-171.1278295 7.17575
-171.1278809 7.17735
-171.1279313 7.17896
-171.1279808 7.18056
-171.1280294 7.18216
-171.1280771 7.18377
-171.1281239 7.18537
-171.1281698 7.18697
-171.1282148 7.18858
-171.1282589 7.19018
-171.1283022 7.19178
-171.1283445 7.19339
-171.1283859 7.19499
-171.1284264 7.19659
-171.1284661 7.19820
-171.1285049 7.19980
-171.1285427 7.20140
-171.1285797 7.20301
-171.1286159 7.20461
-171.1286511 7.20621
-171.1286854 7.20782
-171.1287189 7.20942
-171.1287515 7.21102
-171.1287832 7.21263
-171.1288141 7.21423
-171.1288441 7.21583
-171.1288732 7.21743
-171.1289015 7.21904
-171.1289288 7.22064
-171.1289554 7.22224
-171.1289810 7.22385
-171.1290058 7.22545
-171.1290298 7.22705
-171.1290528 7.22866
-171.1290751 7.23026
-171.1290964 7.23186
-171.1291170 7.23347
-171.1291366 7.23507
-171.1291555 7.23667
-171.1291734 7.23828
